Username,artist_name,track_name,genre,track_id,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
massdosage,Bearings,Eyes Closed,Children’s Music,5rS5ZUYY7rr3cZiP1Hwzaw,44,0.000371,0.476,0.933,0.0,0.253,-3.872,0.0662,162.083,0.623
massdosage,Neck Deep,In Bloom,Pop,6WoyghnMAvDDRbZfFbpwEo,63,0.00359,0.594,0.959,1.34e-05,0.101,-4.697,0.0486,110.979,0.381
massdosage,The Story So Far,Roam,Alternative,5vjR4LUikpN6LhpxRWK6k2,47,0.000569,0.507,0.995,1.28e-05,0.0686,-2.355,0.0829,123.889,0.219
massdosage,Emicida,Baiana,Reggae,0rWFKPPYTWW4Fdl4bqZCUz,34,0.454,0.785,0.517,0.00527,0.102,-9.159,0.0431,150.033,0.76
massdosage,Pantera,I'm Broken,Alternative,2M5WTwqnkyz7bW6P1CiD6q,61,0.000594,0.419,0.878,0.559,0.139,-6.352,0.0553,147.385,0.666
massdosage,Pantera,Fucking Hostile,Alternative,5RU50TPTgtxJLFNunUS2p5,54,0.000148,0.479,0.96,4.62e-05,0.208,-9.551,0.0991,93.867,0.506
massdosage,Pantera,Hollow,Alternative,1lM1ZHTvfKi5CMRjsZ4Sg9,54,9.48e-05,0.273,0.688,0.0504,0.051,-10.883,0.0326,100.077,0.347
massdosage,Pantera,Becoming,Alternative,3iV11AiIEDIOVjKy3kgjld,48,0.00104,0.578,0.896,0.00513,0.126,-5.699,0.0497,129.843,0.576
massdosage,Deltron 3030,Time Keeps on Slipping,Alternative,4a7iNsBx9sIDcqv0AdmFKn,44,0.0589,0.697,0.756,0.0,0.383,-7.971,0.0884,96.015,0.785
massdosage,Del The Funky Homosapien,Press Rewind,Alternative,736y1ZQptSw5iaMkbmvu9X,46,0.233,0.825,0.66,0.0,0.0919,-6.977,0.327,93.914,0.699
massdosage,Malibu Ken,Tuesday,Alternative,3q3QvTkJ8Ofu07eqB1eG6m,42,0.11,0.521,0.731,0.0,0.136,-6.997,0.446,168.111,0.723
massdosage,S. Carey,Rose Petals,Folk,0NJ1LV5VblYyJsJt3EbAx7,67,0.888,0.562,0.282,0.00297,0.0812,-11.956,0.0302,127.964,0.172
massdosage,Ben Howard,Heave Ho,Folk,2IVwFnibBmmS52hYrlzyE1,55,0.00606,0.54,0.478,0.837,0.344,-9.676,0.0288,139.994,0.0481
massdosage,Band of Horses,No One's Gonna Love You (Stockholm Version),Folk,371akJ9fYgSkrAFMyWoTdL,67,0.953,0.599,0.198,0.000127,0.0994,-8.557,0.0581,141.987,0.214
massdosage,Fall Out Boy,Saturday,Rock,423FiDerFgzeEcqKEOmZ81,54,0.00163,0.48,0.929,0.0,0.341,-3.931,0.0826,98.045,0.624
massdosage,Knuckle Puck,No Good,Alternative,6QE9wweexetE63HPZki8vY,47,0.0102,0.285,0.952,0.0,0.207,-2.865,0.0702,184.094,0.555
massdosage,Nana Grizol,Cynicism,Folk,2Ao6tuwPEgKbTRhNw5DUZ1,45,0.888,0.364,0.0946,0.000765,0.102,-16.25,0.0307,101.085,0.22
massdosage,Joris de Man,City On The Mesa - Part 3 - Onwards To Meridian,Soundtrack,1uWQDWV7tf6PsyPVAB55Df,34,0.762,0.415,0.157,0.797,0.0747,-22.02,0.0334,129.911,0.0657
massdosage,Jeremy Soule,Skyrim Atmospheres,Soundtrack,4uiYbSb9a0jbNctHif2j4w,51,0.809,0.0676,0.21,0.897,0.0872,-29.314,0.0886,75.267,0.039
massdosage,Gustavo Santaolalla,The Outbreak,Classical,4XBcN5LAyt9cyIXO9ps9VC,41,0.927,0.246,0.0107,0.917,0.0743,-32.521,0.0404,89.442,0.0772
massdosage,Gustavo Santaolalla,The Quarantine Zone (20 Years Later),Classical,1K4aTCGpWV247Prt4LYbmc,43,0.812,0.477,0.142,0.884,0.12,-19.351,0.0336,115.479,0.0338
massdosage,Mikolai Stroinski,Aen Seidhe,Soundtrack,7szFQ4HWhfQwd5mDq2UKE4,48,0.198,0.491,0.418,0.507,0.125,-12.189,0.0249,100.106,0.2
massdosage,Gustavo Santaolalla,The Path (Vacant),Soundtrack,2BMVjL4w8lFXrKedFalIgU,30,0.737,0.0821,0.0392,0.901,0.142,-27.045,0.0412,84.044,0.0346
